GreenCard_ID,GreenCard_status,GreenCard_issue_date,GreenCard_exp_date,ID_Emp
406-6568-70,Conditional Permanent Resident,2023-11-12,2030-02-22,75-7433039
067-9996-35,Employment-Based Green Card,2023-10-16,2030-05-15,33-4340847
021-6833-87,Refugee,2023-03-26,2030-10-19,44-3565974
106-8375-16,Family-Based Green Card,2023-05-14,2030-04-11,79-0793818
606-9327-07,Employment-Based Green Card,2023-02-10,2030-06-29,46-7827188
654-2409-10,Lawful Permanent Resident,2023-12-09,2030-06-15,88-3272204
572-1786-22,Employment-Based Green Card,2023-08-19,2030-05-28,73-0980233
021-8928-71,Refugee,2023-07-29,2030-03-09,83-0699169
159-9905-66,Family-Based Green Card,2023-06-06,2030-03-22,34-1438644
931-2897-73,Family-Based Green Card,2023-09-02,2030-11-19,43-8364450
014-9357-60,Refugee,2023-02-25,2030-10-07,27-7865804
519-7100-02,Lawful Permanent Resident,2023-03-29,2030-05-15,39-0223572
214-7511-87,Family-Based Green Card,2023-01-14,2030-01-31,01-0732864
544-2978-92,Employment-Based Green Card,2023-03-26,2030-11-18,32-8270018
911-5544-87,Refugee,2023-11-12,2030-01-25,16-4715550
455-9542-66,Refugee,2023-09-27,2030-06-28,42-7501422
845-0963-54,Conditional Permanent Resident,2023-09-14,2030-05-07,20-1051578
521-6705-94,Employment-Based Green Card,2023-01-17,2030-03-22,78-1500608
291-0394-74,Conditional Permanent Resident,2023-06-13,2030-09-17,00-6351482
470-7850-13,Family-Based Green Card,2023-10-05,2030-01-13,22-9466062
549-6431-61,Employment-Based Green Card,2023-05-29,2030-01-15,47-5649506
668-2203-95,Employment-Based Green Card,2023-06-23,2030-06-03,37-9776808
820-6345-34,Family-Based Green Card,2023-04-06,2030-08-11,35-6120229
140-5586-97,Refugee,2023-03-28,2030-03-17,00-8336338
307-6524-81,Employment-Based Green Card,2023-08-20,2030-02-06,63-8782059
457-2158-67,Employment-Based Green Card,2023-03-28,2030-07-07,86-7560476
145-6189-65,Family-Based Green Card,2023-09-11,2030-07-22,20-9057186
658-9402-32,Lawful Permanent Resident,2023-11-11,2030-09-24,42-8907791
330-7211-79,Employment-Based Green Card,2023-09-14,2030-05-30,26-8924252
372-4395-01,Family-Based Green Card,2023-01-27,2030-06-02,79-5304139
346-7095-54,Employment-Based Green Card,2023-06-09,2030-10-04,29-3183499
127-2585-18,Refugee,2023-06-29,2030-09-25,42-4151214
568-8625-53,Family-Based Green Card,2023-12-09,2030-02-15,88-2473727
263-9169-54,Employment-Based Green Card,2023-03-27,2030-01-18,60-9026709
413-6821-68,Conditional Permanent Resident,2023-02-12,2030-09-24,35-1168742
685-5592-37,Lawful Permanent Resident,2023-07-17,2030-12-05,07-7729550
312-5936-26,Family-Based Green Card,2023-04-09,2030-06-29,53-6324978
161-2414-17,Conditional Permanent Resident,2023-11-26,2030-05-14,35-4927927
277-6288-94,Family-Based Green Card,2023-06-20,2030-05-22,50-0733366
557-9487-45,Lawful Permanent Resident,2023-02-02,2030-08-30,75-0236705
785-2856-73,Conditional Permanent Resident,2023-10-31,2030-09-23,78-0986287
812-4339-12,Conditional Permanent Resident,2023-06-27,2030-07-16,94-3237465
964-7749-65,Conditional Permanent Resident,2023-04-15,2030-06-01,04-8629473
758-8555-54,Family-Based Green Card,2023-07-27,2030-12-02,24-2170919
466-1011-65,Employment-Based Green Card,2023-11-24,2030-02-16,35-6412616
945-8308-70,Lawful Permanent Resident,2023-12-04,2030-06-03,15-7402049
988-9547-48,Refugee,2023-07-21,2030-11-14,53-2080122
074-4379-25,Family-Based Green Card,2023-08-01,2030-08-23,63-6192495
757-7141-49,Lawful Permanent Resident,2023-10-31,2030-11-19,45-8155262
123-8371-98,Employment-Based Green Card,2023-01-16,2030-10-11,51-2536776
555-4852-60,Conditional Permanent Resident,2023-03-02,2030-02-14,34-7521206
377-0150-80,Refugee,2023-06-20,2030-03-04,11-3106643
072-8571-94,Refugee,2023-06-28,2030-12-10,82-0850044
615-0683-61,Employment-Based Green Card,2023-07-31,2030-01-20,20-0832515
223-7515-08,Refugee,2023-03-24,2030-12-21,02-8777448
381-5790-77,Lawful Permanent Resident,2023-04-27,2030-10-12,20-7729837
694-4431-66,Lawful Permanent Resident,2023-09-19,2030-12-04,59-9362860
381-4807-90,Refugee,2023-12-07,2030-12-24,07-9713869
932-0874-97,Lawful Permanent Resident,2023-12-17,2030-06-14,11-7570926
303-8276-63,Family-Based Green Card,2023-05-11,2030-08-28,73-8381000
968-1969-65,Employment-Based Green Card,2023-08-22,2030-01-21,38-8874179
881-2860-26,Conditional Permanent Resident,2023-04-12,2030-07-18,43-8639115
491-6762-74,Employment-Based Green Card,2023-08-28,2030-10-06,09-3402628
356-8204-86,Employment-Based Green Card,2023-08-12,2030-07-02,18-3268313
094-8426-30,Refugee,2023-01-16,2030-09-17,32-9683162
001-0629-70,Refugee,2023-02-20,2030-11-28,85-4596922
666-2535-98,Employment-Based Green Card,2023-09-17,2030-01-21,44-6232505
847-2787-69,Employment-Based Green Card,2023-12-04,2030-04-14,08-7627735
237-6135-64,Refugee,2023-04-13,2030-01-27,92-1817645
438-5737-63,Family-Based Green Card,2023-10-08,2030-05-06,54-9530192
712-0278-77,Conditional Permanent Resident,2023-08-25,2030-10-22,47-2797454
619-7485-31,Employment-Based Green Card,2023-09-06,2030-06-05,65-4167294
724-7081-44,Family-Based Green Card,2023-05-05,2030-04-20,13-2634883
910-8896-75,Lawful Permanent Resident,2023-12-14,2030-01-25,17-6491124
220-1452-18,Conditional Permanent Resident,2023-06-17,2030-05-02,40-5127082
513-1253-98,Lawful Permanent Resident,2023-08-24,2030-03-17,36-6190705
775-0133-91,Refugee,2023-08-16,2030-07-14,81-1310673
622-4038-40,Conditional Permanent Resident,2023-10-07,2030-03-24,36-7106668
628-2651-67,Conditional Permanent Resident,2023-08-20,2030-06-27,08-8845872
171-7396-79,Conditional Permanent Resident,2023-08-05,2030-01-15,75-3347165
520-8017-19,Conditional Permanent Resident,2023-03-11,2030-11-26,18-1325014
963-0569-26,Refugee,2023-04-18,2030-01-02,86-0684754
630-8794-59,Conditional Permanent Resident,2023-01-16,2030-06-17,02-4536644
605-2954-15,Family-Based Green Card,2023-06-13,2030-09-20,73-4431443
351-6752-30,Employment-Based Green Card,2023-12-19,2030-06-19,29-1800241
400-5401-13,Family-Based Green Card,2023-08-07,2030-08-28,52-8334481
314-3091-74,Family-Based Green Card,2023-08-27,2030-11-24,02-5427722
344-1904-89,Employment-Based Green Card,2023-05-27,2030-07-11,04-4370956
802-0686-51,Lawful Permanent Resident,2023-03-26,2030-05-08,66-0573040
949-8399-11,Refugee,2023-10-17,2030-10-18,76-3788573
055-6025-99,Family-Based Green Card,2023-03-11,2030-11-01,51-4223499
039-9740-80,Refugee,2023-02-14,2030-01-05,00-8190274
547-7645-96,Conditional Permanent Resident,2023-11-17,2030-03-22,60-5607203
481-1368-42,Family-Based Green Card,2023-07-10,2030-11-20,61-6811324
789-1942-58,Conditional Permanent Resident,2023-08-15,2030-07-04,53-1405847
475-4787-29,Lawful Permanent Resident,2023-12-19,2030-10-16,91-2420894
551-1639-70,Lawful Permanent Resident,2023-03-25,2030-10-09,54-6526032
281-2309-61,Employment-Based Green Card,2023-03-08,2030-03-01,03-6578146
903-8491-57,Lawful Permanent Resident,2023-09-11,2030-08-04,99-9177149
866-9633-53,Employment-Based Green Card,2023-04-26,2030-03-15,05-2380408
584-9824-20,Family-Based Green Card,2023-12-15,2030-05-23,20-2148472
204-2382-08,Refugee,2023-12-27,2030-04-18,55-7002578
389-6682-87,Employment-Based Green Card,2023-06-30,2030-08-19,82-6656666
680-3841-85,Refugee,2023-10-28,2030-02-15,83-8377849
451-4164-74,Conditional Permanent Resident,2023-01-24,2030-09-28,90-0901184
156-9018-59,Conditional Permanent Resident,2023-12-25,2030-03-03,30-7319342
994-2247-28,Employment-Based Green Card,2023-07-15,2030-01-27,18-4657693
094-1331-08,Lawful Permanent Resident,2023-05-05,2030-11-25,81-6651964
001-7886-94,Conditional Permanent Resident,2023-07-08,2030-06-04,26-4243462
296-0647-75,Family-Based Green Card,2023-09-04,2030-01-07,56-9676538
247-2876-69,Lawful Permanent Resident,2023-06-02,2030-08-06,34-9642334
892-4451-30,Family-Based Green Card,2023-07-27,2030-04-20,64-6063685
314-5148-23,Employment-Based Green Card,2023-04-28,2030-10-18,19-2161613
450-8620-46,Lawful Permanent Resident,2023-08-21,2030-09-25,57-5286403
719-2834-56,Refugee,2023-03-01,2030-02-06,37-7643756
444-1847-93,Family-Based Green Card,2023-10-18,2030-03-12,86-6352758
570-7429-66,Family-Based Green Card,2023-03-06,2030-10-14,00-3155074
894-0389-49,Employment-Based Green Card,2023-11-13,2030-10-04,36-9595914
799-3311-12,Lawful Permanent Resident,2023-02-07,2030-11-03,78-6272917
397-5030-35,Refugee,2023-07-11,2030-07-17,46-9029156
587-8263-46,Lawful Permanent Resident,2023-05-07,2030-09-06,28-2231616
877-2666-26,Conditional Permanent Resident,2023-06-20,2030-05-09,98-1233335
778-8003-69,Employment-Based Green Card,2023-05-01,2030-08-18,50-8454566
046-0855-02,Refugee,2023-06-20,2030-01-11,86-0721951
908-3866-36,Refugee,2023-07-04,2030-05-25,94-2435261
130-0311-31,Family-Based Green Card,2023-11-13,2030-11-27,71-8124643
055-9395-30,Refugee,2023-06-21,2030-09-20,85-2262369
849-5198-47,Refugee,2023-05-05,2030-10-20,26-3282230
791-9427-18,Family-Based Green Card,2023-04-14,2030-09-04,16-8271480
347-2740-91,Employment-Based Green Card,2023-06-11,2030-05-15,75-3994362
271-6213-91,Family-Based Green Card,2023-02-05,2030-11-11,95-9902083
442-9164-68,Lawful Permanent Resident,2023-02-06,2030-09-16,02-1772397
122-0685-28,Refugee,2023-05-16,2030-03-31,55-8737029
419-6406-05,Conditional Permanent Resident,2023-09-07,2030-09-07,84-6850257
180-8368-33,Refugee,2023-06-02,2030-12-23,27-1922491
961-2389-89,Conditional Permanent Resident,2023-08-31,2030-05-26,61-2396455
428-3064-56,Conditional Permanent Resident,2023-06-29,2030-04-12,66-3899072
451-8898-43,Refugee,2023-03-05,2030-02-07,34-3225010
776-3934-53,Family-Based Green Card,2023-11-30,2030-05-06,11-1054988
803-9653-22,Employment-Based Green Card,2023-10-09,2030-09-08,14-5454161
954-9419-46,Lawful Permanent Resident,2023-10-24,2030-08-25,16-8939914
404-5812-17,Conditional Permanent Resident,2023-03-12,2030-05-05,26-7751796
955-6280-87,Refugee,2023-12-08,2030-03-15,48-9065948
579-0176-26,Conditional Permanent Resident,2023-08-08,2030-06-25,70-4521392
773-2651-08,Lawful Permanent Resident,2023-07-15,2030-04-23,40-0665905
782-4152-28,Employment-Based Green Card,2023-08-26,2030-10-17,89-6024164
302-0124-21,Refugee,2023-05-10,2030-08-12,71-9402749
614-3937-69,Lawful Permanent Resident,2023-08-05,2030-11-05,47-6419363
496-7289-33,Employment-Based Green Card,2023-01-21,2030-10-04,45-1374319
548-3664-15,Employment-Based Green Card,2023-12-30,2030-11-17,35-1820695
330-7093-26,Employment-Based Green Card,2023-05-11,2030-06-04,00-4725175
395-2600-70,Refugee,2023-03-25,2030-09-13,53-5203485
488-4728-66,Employment-Based Green Card,2023-07-19,2030-06-02,96-7021450
975-2819-13,Employment-Based Green Card,2023-10-16,2030-07-05,83-7509300
966-4703-47,Lawful Permanent Resident,2023-12-07,2030-08-05,41-7452481
853-6498-48,Employment-Based Green Card,2023-09-27,2030-09-09,71-9745340
855-7037-51,Conditional Permanent Resident,2023-02-11,2030-11-10,76-0850753
449-9764-09,Employment-Based Green Card,2023-05-14,2030-03-09,35-2727586
072-8985-10,Refugee,2023-06-28,2030-04-26,18-3086260
660-5374-34,Employment-Based Green Card,2023-08-23,2030-05-19,59-7115270
099-8029-65,Family-Based Green Card,2023-10-27,2030-04-11,22-4296010
889-7421-66,Lawful Permanent Resident,2023-12-12,2030-01-11,91-8523523
929-0660-10,Refugee,2023-03-25,2030-03-17,40-0191516
132-6184-46,Lawful Permanent Resident,2023-10-06,2030-01-27,84-8506000
393-2417-39,Employment-Based Green Card,2023-01-01,2030-01-15,80-4140155
357-2778-44,Refugee,2023-03-31,2030-07-23,97-2708364
564-2523-46,Employment-Based Green Card,2023-01-07,2030-01-21,60-1816685
843-9452-92,Employment-Based Green Card,2023-03-20,2030-06-13,23-5289352
619-6749-76,Lawful Permanent Resident,2023-07-18,2030-03-20,86-9814876
896-2035-67,Conditional Permanent Resident,2023-10-15,2030-07-11,05-6363950
047-3709-71,Lawful Permanent Resident,2023-04-25,2030-10-30,84-7237627
600-9328-20,Lawful Permanent Resident,2023-09-08,2030-10-19,12-3665304
928-7169-26,Refugee,2023-08-29,2030-01-26,77-5264398
329-1742-72,Refugee,2023-06-22,2030-06-17,46-3257424
481-1222-15,Employment-Based Green Card,2023-06-30,2030-09-28,61-8596109
270-6898-31,Refugee,2023-11-25,2030-02-02,42-0501653
671-1323-95,Lawful Permanent Resident,2023-04-28,2030-07-12,77-2912512
628-7737-91,Family-Based Green Card,2023-12-03,2030-10-17,32-0618862
995-6888-78,Conditional Permanent Resident,2023-05-21,2030-04-15,42-6110788
849-0945-87,Employment-Based Green Card,2023-09-30,2030-12-11,01-1171598
455-2294-43,Employment-Based Green Card,2023-02-02,2030-04-12,54-5767084
471-6747-55,Conditional Permanent Resident,2023-11-07,2030-10-03,04-2494430
524-8025-89,Lawful Permanent Resident,2023-07-17,2030-08-17,49-5598020
588-4925-30,Employment-Based Green Card,2023-12-22,2030-01-29,55-8733614
406-5980-01,Employment-Based Green Card,2023-01-11,2030-05-26,06-2487284
492-0696-30,Conditional Permanent Resident,2023-05-16,2030-10-14,11-2379479
422-0768-92,Family-Based Green Card,2023-09-05,2030-08-03,29-1054950
013-8925-47,Refugee,2023-12-15,2030-11-08,55-8237930
684-8079-77,Family-Based Green Card,2023-06-07,2030-05-20,91-6908177
069-2468-38,Employment-Based Green Card,2023-12-22,2030-01-02,23-7602977
768-3903-72,Family-Based Green Card,2023-03-31,2030-10-27,74-4881973
843-9579-97,Conditional Permanent Resident,2023-08-10,2030-01-18,94-5051068
099-3487-34,Employment-Based Green Card,2023-06-28,2030-01-08,16-2294538
312-7965-19,Refugee,2023-01-16,2030-02-27,11-3918069
085-5423-27,Refugee,2023-01-05,2030-01-18,19-4834101
211-9334-99,Lawful Permanent Resident,2023-01-06,2030-10-21,81-4495697
997-2431-60,Lawful Permanent Resident,2023-11-12,2030-12-08,80-8389234
267-4169-50,Refugee,2023-01-22,2030-04-01,60-3036081
061-3321-62,Refugee,2023-01-22,2030-12-21,62-8606689
230-9407-03,Conditional Permanent Resident,2023-05-08,2030-04-27,20-2585433
644-6858-13,Conditional Permanent Resident,2023-07-09,2030-04-27,15-9152397
346-9337-51,Lawful Permanent Resident,2023-03-12,2030-08-05,12-3850982
323-5149-95,Lawful Permanent Resident,2023-10-20,2030-09-05,11-6656693
415-2754-62,Employment-Based Green Card,2023-08-26,2030-06-09,49-9132823
188-1876-54,Employment-Based Green Card,2023-08-26,2030-08-27,79-9211766
